resourceinstanceidfrom,relationshiptype,resourceinstanceidto,dateended,notes
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,ec0a7b93-0c2f-46af-aef8-95a9b2a6728e,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,13cfb2f4-b1d6-4651-883b-92b3ace9e23d,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,e878d3a6-42f7-4703-85fc-4894e7143af5,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,396d5765-3bc0-4b73-aa5a-f011fe3d2319,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,f664dd8c-56bc-4fc4-8fd0-273001508d07,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,756f8af1-f11e-467f-91a3-f16de79455c8,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,3b2e37f9-cc44-4842-8890-e562ad826221,,
42a0c2a8-01e1-4d46-9ef3-5452ef2713a5,http://www.cidoc-crm.org/cidoc-crm/P67,023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,
42a0c2a8-01e1-4d46-9ef3-5452ef2713a5,http://www.cidoc-crm.org/cidoc-crm/P67,42fd4e3d-730d-40ad-9e05-3cf46d771808,,
42a0c2a8-01e1-4d46-9ef3-5452ef2713a5,http://www.cidoc-crm.org/cidoc-crm/P67,8f77843a-44c1-4574-a8a8-9a40845b7ceb,,
fec904d0-6743-43ef-8120-55e9df74cb3f,http://www.cidoc-crm.org/cidoc-crm/P67,023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,
fec904d0-6743-43ef-8120-55e9df74cb3f,http://www.cidoc-crm.org/cidoc-crm/P67,0e053288-5420-49d5-a9aa-0f737e9b47c9,,
fec904d0-6743-43ef-8120-55e9df74cb3f,http://www.cidoc-crm.org/cidoc-crm/P67,af463af3-8998-4c15-bc17-29651b65612d,,
fec904d0-6743-43ef-8120-55e9df74cb3f,http://www.cidoc-crm.org/cidoc-crm/P67,ba9ff2e9-18e7-452e-b9c6-0db6c4484033,,
fec904d0-6743-43ef-8120-55e9df74cb3f,http://www.cidoc-crm.org/cidoc-crm/P67,8631decf-a326-45a9-b4bf-c33171577350,,
fec904d0-6743-43ef-8120-55e9df74cb3f,http://www.cidoc-crm.org/cidoc-crm/P67,68a8d623-fa37-40b1-a453-135fc42dda94,,
fec904d0-6743-43ef-8120-55e9df74cb3f,http://www.cidoc-crm.org/cidoc-crm/P67,4e439914-4546-45e2-a903-24ab3374f990,,
91468475-9b76-4b15-89c9-46c3a7b51859,http://www.cidoc-crm.org/cidoc-crm/P67,023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,
91468475-9b76-4b15-89c9-46c3a7b51859,http://www.cidoc-crm.org/cidoc-crm/P67,7f62b79d-88e8-4a91-b564-b96b78ca91ea,,
91468475-9b76-4b15-89c9-46c3a7b51859,http://www.cidoc-crm.org/cidoc-crm/P67,f664dd8c-56bc-4fc4-8fd0-273001508d07,,
da2acb7b-4ef2-4eb9-b269-c55db37db573,http://www.cidoc-crm.org/cidoc-crm/P67,023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,
da2acb7b-4ef2-4eb9-b269-c55db37db573,http://www.cidoc-crm.org/cidoc-crm/P67,8631decf-a326-45a9-b4bf-c33171577350,,
da2acb7b-4ef2-4eb9-b269-c55db37db573,http://www.cidoc-crm.org/cidoc-crm/P67,7f62b79d-88e8-4a91-b564-b96b78ca91ea,,
da2acb7b-4ef2-4eb9-b269-c55db37db573,http://www.cidoc-crm.org/cidoc-crm/P67,e878d3a6-42f7-4703-85fc-4894e7143af5,,
da2acb7b-4ef2-4eb9-b269-c55db37db573,http://www.cidoc-crm.org/cidoc-crm/P67,396d5765-3bc0-4b73-aa5a-f011fe3d2319,,
7ebe9e51-0f83-4f00-9512-d75ce61861c5,http://www.cidoc-crm.org/cidoc-crm/P67,023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,
7ebe9e51-0f83-4f00-9512-d75ce61861c5,http://www.cidoc-crm.org/cidoc-crm/P67,e878d3a6-42f7-4703-85fc-4894e7143af5,,
7ebe9e51-0f83-4f00-9512-d75ce61861c5,http://www.cidoc-crm.org/cidoc-crm/P67,396d5765-3bc0-4b73-aa5a-f011fe3d2319,,
34126bd5-ee04-4a1e-b9e6-eaef856e3204,http://www.cidoc-crm.org/cidoc-crm/P67,023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,
34126bd5-ee04-4a1e-b9e6-eaef856e3204,http://www.cidoc-crm.org/cidoc-crm/P67,8631decf-a326-45a9-b4bf-c33171577350,,
34126bd5-ee04-4a1e-b9e6-eaef856e3204,http://www.cidoc-crm.org/cidoc-crm/P67,ff5f70b2-96a1-4b85-94bc-c6a27df23d0d,,
